date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:28:47	69/69	---M-Z	200	added ('OK')	text/plain	date:Thu,%2013%20Aug%202020%2012:28:48%20GMT	http://www.nuvemtelecom.com.br/robots.txt		(from )
09:28:47	77010/77010	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2012:28:48%20GMT	http://www.nuvemtelecom.com.br/	C:/Meus%20Sites/RainetTelecom/index-2.html	(from )
09:28:47	29295/29295	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.nuvemtelecom.com.br/wp-includes/css/dist/block-library/style.min.css,qver=5.2.7.pagespeed.ce.N1vWXWD_PI.css	C:/Meus%20Sites/RainetTelecom/wp-includes/css/dist/block-library/style.min.css,qver=5.2.7.pagespeed.ce.N1vWXWD_PI.css	(from http://www.nuvemtelecom.com.br/)
09:28:48	47912/47912	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/css/A.rs6.css,qver=6.1.2.pagespeed.cf.djjsgnj3QR.css	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/css/A.rs6.css,qver=6.1.2.pagespeed.cf.djjsgnj3QR.css	(from http://www.nuvemtelecom.com.br/)
09:28:48	30902/30902	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.nuvemtelecom.com.br/wp-content/themes/jelyco/css/A.font-awesome.css,qver=1.0.0.pagespeed.cf.T-Exsff3jJ.css	C:/Meus%20Sites/RainetTelecom/wp-content/themes/jelyco/css/A.font-awesome.css,qver=1.0.0.pagespeed.cf.T-Exsff3jJ.css	(from http://www.nuvemtelecom.com.br/)
09:28:48	4785/4785	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.nuvemtelecom.com.br/wp-content/themes/jelyco/css/A.flaticon.css,qver=1.0.0.pagespeed.cf.eEgvrFv4bh.css	C:/Meus%20Sites/RainetTelecom/wp-content/themes/jelyco/css/A.flaticon.css,qver=1.0.0.pagespeed.cf.eEgvrFv4bh.css	(from http://www.nuvemtelecom.com.br/)
09:28:48	5301/5301	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a22f09370548d36547077487f8c3a5dc-gzip%22	http://www.nuvemtelecom.com.br/comments/feed/	C:/Meus%20Sites/RainetTelecom/comments/feed/index.html	(from http://www.nuvemtelecom.com.br/)
09:28:49	24200/24200	---M-Z	200	added ('OK')	application/rss+xml	etag:%226ab09478900ce42897b0b6fa10cf07e2-gzip%22	http://www.nuvemtelecom.com.br/feed/	C:/Meus%20Sites/RainetTelecom/feed/index.html	(from http://www.nuvemtelecom.com.br/)
09:28:50	80611/80611	---M--	200	added ('OK')	image/svg+xml	etag:%2213ae3-5963b7bf19e73%22	http://www.nuvemtelecom.com.br/wp-content/themes/jelyco/fonts/icomoon/icomoon.svg?koswr1	C:/Meus%20Sites/RainetTelecom/wp-content/themes/jelyco/fonts/icomoon/icomoon8200.svg	(from http://www.nuvemtelecom.com.br/)
09:28:51	21368/21368	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225378-5963b7bf19e73%22	http://www.nuvemtelecom.com.br/wp-content/themes/jelyco/fonts/icomoon/icomoon.eot?koswr1	C:/Meus%20Sites/RainetTelecom/wp-content/themes/jelyco/fonts/icomoon/icomoon8200.eot	(from http://www.nuvemtelecom.com.br/)
09:28:51	140936/140936	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.nuvemtelecom.com.br/wp-content/themes/jelyco/css/bootstrap.min.css,qver=1.0.0.pagespeed.ce.5ZqimsSj0Y.css	C:/Meus%20Sites/RainetTelecom/wp-content/themes/jelyco/css/bootstrap.min.css,qver=1.0.0.pagespeed.ce.5ZqimsSj0Y.css	(from http://www.nuvemtelecom.com.br/)
09:28:52	40146/40146	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.nuvemtelecom.com.br/wp-content/themes/jelyco/css/A.animations.css,qver=1.0.0.pagespeed.cf.gGGgqMlfOk.css	C:/Meus%20Sites/RainetTelecom/wp-content/themes/jelyco/css/A.animations.css,qver=1.0.0.pagespeed.cf.gGGgqMlfOk.css	(from http://www.nuvemtelecom.com.br/)
09:28:53	516377/516377	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.nuvemtelecom.com.br/wp-content/themes/jelyco-child/css/A.main.css,qver=1.0.0.pagespeed.cf.ioiMDxfDnP.css	C:/Meus%20Sites/RainetTelecom/wp-content/themes/jelyco-child/css/A.main.css,qver=1.0.0.pagespeed.cf.ioiMDxfDnP.css	(from http://www.nuvemtelecom.com.br/)
09:28:54	21280/21280	---M--	200	added ('OK')	font/woff	etag:%225320-5963b7bf19e73%22	http://www.nuvemtelecom.com.br/wp-content/themes/jelyco/fonts/icomoon/icomoon.woff?koswr1	C:/Meus%20Sites/RainetTelecom/wp-content/themes/jelyco/fonts/icomoon/icomoon8200.woff	(from http://www.nuvemtelecom.com.br/)
09:28:54	21204/21204	---M--	200	added ('OK')	font/ttf	etag:%2252d4-5963b7bf19e73%22	http://www.nuvemtelecom.com.br/wp-content/themes/jelyco/fonts/icomoon/icomoon.ttf?koswr1	C:/Meus%20Sites/RainetTelecom/wp-content/themes/jelyco/fonts/icomoon/icomoon8200.ttf	(from http://www.nuvemtelecom.com.br/)
09:28:55	9959/9959	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	http://www.nuvemtelecom.com.br/wp-includes/js/jquery/jquery-migrate.min.js,qver=1.4.1.pagespeed.jm.C2obERNcWh.js	C:/Meus%20Sites/RainetTelecom/wp-includes/js/jquery/jquery-migrate.min.js,qver=1.4.1.pagespeed.jm.C2obERNcWh.js	(from http://www.nuvemtelecom.com.br/)
09:28:55	96779/96779	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	http://www.nuvemtelecom.com.br/wp-includes/js/jquery/jquery.js,qver=1.12.4-wp.pagespeed.jm.gp20iU5FlU.js	C:/Meus%20Sites/RainetTelecom/wp-includes/js/jquery/jquery.js,qver=1.12.4-wp.pagespeed.jm.gp20iU5FlU.js	(from http://www.nuvemtelecom.com.br/)
09:28:57	846/846	---M-Z	200	added ('OK')	text/xml	date:Thu,%2013%20Aug%202020%2012:28:59%20GMT	http://www.nuvemtelecom.com.br/xmlrpc.php?rsd	C:/Meus%20Sites/RainetTelecom/xmlrpc0db0.php	(from http://www.nuvemtelecom.com.br/)
09:28:57	7353/7353	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	http://www.nuvemtelecom.com.br/wp-content/plugins,_wp-google-maps,_wpgmza_data.js,qver==5.2.7+themes,_jelyco,_js,_vendor,_modernizr-custom.js,qver==2.6.2.pagespeed.jc.d6yH-QD74y.js	C:/Meus%20Sites/RainetTelecom/wp-content/plugins,_wp-google-maps,_wpgmza_data.js,qver==5.2.7+themes,_jelyco,_js,_vendor,_modernizr-custom.js,qver==2.6.2.pagespeed.jc.d6yH-QD74y.js	(from http://www.nuvemtelecom.com.br/)
09:28:58	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://www.nuvemtelecom.com.br/wp-includes/wlwmanifest.xml	C:/Meus%20Sites/RainetTelecom/wp-includes/wlwmanifest.xml	(from http://www.nuvemtelecom.com.br/)
09:28:58	2221/2221	---MC-	200	added ('OK')	application/json	date:Thu,%2013%20Aug%202020%2012:28:59%20GMT	http://www.nuvemtelecom.com.br/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.nuvemtelecom.com.br%2F	C:/Meus%20Sites/RainetTelecom/wp-json/oembed/1.0/embed2ad8.json	(from http://www.nuvemtelecom.com.br/)
09:28:59	147271/147271	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/js/revolution.tools.min.js,qver=6.0.pagespeed.jm.xGFHiH57bM.js	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/js/revolution.tools.min.js,qver=6.0.pagespeed.jm.xGFHiH57bM.js	(from http://www.nuvemtelecom.com.br/)
09:28:59	2320/2320	---M-Z	200	added ('OK')	text/xml	date:Thu,%2013%20Aug%202020%2012:29:00%20GMT	http://www.nuvemtelecom.com.br/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.nuvemtelecom.com.br%2F&format=xml	C:/Meus%20Sites/RainetTelecom/wp-json/oembed/1.0/embed7b30	(from http://www.nuvemtelecom.com.br/)
09:28:59	797/797	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.nuvemtelecom.com.br/wp-content/uploads/2019/11/cropped-nuvem-telecom-32x32.png.pagespeed.ce.kYoOasAJEL.png	C:/Meus%20Sites/RainetTelecom/wp-content/uploads/2019/11/cropped-nuvem-telecom-32x32.png.pagespeed.ce.kYoOasAJEL.png	(from http://www.nuvemtelecom.com.br/)
09:29:00	4826/4826	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.nuvemtelecom.com.br/wp-content/uploads/2019/11/xcropped-nuvem-telecom-192x192.png.pagespeed.ic.QsbtL5SSlu.png	C:/Meus%20Sites/RainetTelecom/wp-content/uploads/2019/11/xcropped-nuvem-telecom-192x192.png.pagespeed.ic.QsbtL5SSlu.png	(from http://www.nuvemtelecom.com.br/)
09:29:00	4971/4971	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.nuvemtelecom.com.br/wp-content/uploads/2019/11/xcropped-nuvem-telecom-180x180.png.pagespeed.ic.37ou6XFzdk.png	C:/Meus%20Sites/RainetTelecom/wp-content/uploads/2019/11/xcropped-nuvem-telecom-180x180.png.pagespeed.ic.37ou6XFzdk.png	(from http://www.nuvemtelecom.com.br/)
09:29:01	21130/21130	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Aug%202020%2012:29:01%20GMT	http://nuvemtelecom.site.conecte.ai/wp-content/uploads/2019/06/sing-in-modal.jpg	C:/Meus%20Sites/RainetTelecom/wp-content/uploads/2019/06/sing-in-modal.17.delayed	(from http://www.nuvemtelecom.com.br/)
09:29:06	267829/267829	---M-Z	200	added ('OK')	application/javascript	etag:W/%22PSA-aj-hmKY3fJVFe%22	http://www.nuvemtelecom.com.br/wp-content/plugins/revslider/public/assets/js/rs6.min.js?ver=6.1.2	C:/Meus%20Sites/RainetTelecom/wp-content/plugins/revslider/public/assets/js/rs6.min658f.js	(from http://www.nuvemtelecom.com.br/)
